,cars_name,cars_brand,model,model_year,car_type,kms,owner,gasoliene_type,emi_per_month,price,zero_downpayment
378,Maruti Swift,Maruti,ZDI AMT,2018,Automatic,"40,512",1st,DieselKA-05,"₹15,912/month","₹8,36,000","₹16,344/month"
379,Ford FREESTYLE,Ford,TITANIUM 1.2 PETROL,2018,Manual,"19,349",1st,PetrolKA-01,"₹13,099/month","₹6,70,000",Zero Down Payment
380,Hyundai Elite i20,Hyundai,STA 1.2 (O),2017,Manual,"27,575",1st,PetrolKA-50,"₹14,369/month","₹7,35,000",Zero Down Payment
381,Maruti S PRESSO,Maruti,VXI (O) CNG,2021,Manual,"25,028",1st,CNGKA-53,"₹10,538/month","₹5,39,000",Zero Down Payment
382,HYUNDAI GRAND I10 NIOS,HYUNDAI,SPORTZ 1.2 KAPPA VTVT DUAL TONE,2020,Manual,"5,706",1st,PetrolKA-53,"₹14,975/month","₹7,66,000",Zero Down Payment
383,KIA SELTOS,KIA,X LINE 1.4 PETROL DCT,2021,Automatic,"11,672",1st,PetrolKA-03,"₹35,327/month","₹18,56,000","₹36,285/month"
384,Maruti Dzire,Maruti,ZXI PLUS AMT,2017,Automatic,"69,846",2nd,PetrolKA-01,"₹12,811/month","₹6,55,300",Zero Down Payment
385,Tata NEXON,Tata,XZ PLUS DIESEL DUAL TONE,2018,Manual,"60,364",1st,DieselKA-04,"₹17,264/month","₹9,07,000","₹17,732/month"
386,Honda Amaze,Honda,1.2L I-VTEC S,2018,Manual,"23,861",1st,PetrolKA-04,"₹13,548/month","₹6,93,000",Zero Down Payment
387,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT,2019,Manual,"30,525",1st,PetrolKA-05,"₹11,535/month","₹5,90,000",Zero Down Payment
388,KIA SELTOS,KIA,HTK PLUS 1.5,2019,Manual,"14,855",2nd,PetrolKA-03,"₹24,097/month","₹12,66,000","₹24,751/month"
389,TATA NEXON,TATA,XZ PLUS PETROL,2018,Manual,"48,237",1st,PetrolKA-05,"₹16,369/month","₹8,60,000","₹16,813/month"
390,Maruti Ciaz,Maruti,ZXI AT,2015,Automatic,"75,642",2nd,PetrolKA-03,"₹12,336/month","₹6,31,000",Zero Down Payment
391,HYUNDAI GRAND I10,HYUNDAI,STA (O) 1.2 KAPPA VTVT,2015,Manual,"35,477",1st,PetrolKA-01,"₹10,068/month","₹5,15,000",Zero Down Payment
392,Maruti Ciaz,Maruti,LPHA 1.5 MT VTVT SHVS,2020,Manual,"15,790",1st,PetrolKA-01,"₹18,159/month","₹9,54,000","₹18,651/month"
393,Maruti Baleno,Maruti,DELTA CVT PETROL 1.2,2019,Automatic,"37,274",2nd,PetrolKA-01,"₹15,341/month","₹8,06,000","₹15,757/month"
394,Hyundai VENUE,Hyundai,S 1.2,2021,Manual,"27,466",1st,PetrolKA-07,"₹16,255/month","₹8,54,000","₹16,696/month"
395,Toyota YARIS,Toyota,G MT,2021,Manual,"20,754",1st,PetrolKA-41,"₹21,661/month","₹11,38,000","₹22,248/month"
396,Maruti Alto K10,Maruti,VXI,2018,Manual,"89,919",1st,PetrolKA-04,"₹6,764/month","₹3,46,000",Zero Down Payment
397,VOLKSWAGEN VENTO,VOLKSWAGEN,HIGHLINE 1.2 TSI AT,2016,Automatic,"64,173",2nd,PetrolKA-03,"₹15,132/month","₹7,74,000",Zero Down Payment
398,Maruti Baleno,Maruti,ZETA PETROL 1.2,2017,Manual,"44,498",2nd,PetrolKA-03,"₹13,001/month","₹6,65,000",Zero Down Payment
399,Hyundai AURA,Hyundai,SX 1.2,2020,Manual,"13,736",2nd,PetrolKA-53,"₹14,448/month","₹7,39,000",Zero Down Payment
400,Hyundai Elite i20,Hyundai,STA 1.2 (O),2016,Manual,"46,369",1st,PetrolKA-53,"₹14,487/month","₹7,41,000",Zero Down Payment
401,Renault Duster,Renault,RXS CVT 106 PS,2018,Automatic,"18,610",1st,PetrolKA-50,"₹17,530/month","₹9,21,000","₹18,006/month"
402,HYUNDAI NEW I20,HYUNDAI,STA (O) 1.5 CRDI MT,2020,Manual,"34,579",1st,DieselKA-02,"₹22,632/month","₹11,89,000","₹23,245/month"
403,HYUNDAI ELITE I20,HYUNDAI,STA 1.2 (O),2018,Manual,"18,356",1st,PetrolKA-04,"₹15,621/month","₹7,99,000",Zero Down Payment
404,Renault Kwid,Renault,1.0 RXT,2017,Manual,"75,862",1st,PetrolKA-02,"₹7,155/month","₹3,66,000",Zero Down Payment
405,Renault Kwid,Renault,1.0 RXT Opt AT,2016,Automatic,"52,180",1st,PetrolKA-02,"₹7,840/month","₹4,01,000",Zero Down Payment
406,Renault Kwid,Renault,RXT 1.0 AMT (O),2021,Automatic,"18,707",1st,PetrolKA-55,"₹11,007/month","₹5,63,000",Zero Down Payment
407,Honda WR-V,Honda,1.2L I-VTEC VX MT,2017,Manual,"80,941",2nd,PetrolKA-13,"₹14,154/month","₹7,24,000",Zero Down Payment
408,FORD ECOSPORT,FORD,TREND 1.5L PETROL,2018,Manual,"35,369",1st,PetrolKA-51,"₹14,682/month","₹7,51,000",Zero Down Payment
409,VOLKSWAGEN VENTO,VOLKSWAGEN,HIGHLINE PETROL AT,2016,Automatic,"51,899",2nd,PetrolKA-53,"₹15,093/month","₹7,72,000",Zero Down Payment
410,HONDA JAZZ,HONDA,1.2L I-VTEC V,2016,Manual,"46,683",1st,PetrolKA-51,"₹11,808/month","₹6,04,000",Zero Down Payment
411,Ford New Figo,Ford,TITANIUM 1.2 PETROL MT,2020,Manual,"15,455",1st,PetrolKA-51,"₹12,512/month","₹6,40,000",Zero Down Payment
412,Volkswagen Vento,Volkswagen,1.2 TSI HIGHLINE PLUS AT,2016,Automatic,"49,345",2nd,PetrolKA-02,"₹15,951/month","₹8,38,000","₹16,383/month"
413,Maruti Baleno,Maruti,RS 1.0 PETROL,2017,Manual,"48,775",1st,PetrolKA-04,"₹13,978/month","₹7,15,000",Zero Down Payment
414,Hyundai VENUE,Hyundai,S 1.2,2020,Manual,"45,838",1st,PetrolKA-54,"₹16,236/month","₹8,53,000","₹16,676/month"
415,Maruti Baleno,Maruti,ZETA PETROL 1.2,2018,Manual,"35,886",2nd,PetrolKA-01,"₹13,138/month","₹6,72,000",Zero Down Payment
416,Hyundai Santro Xing,Hyundai,GL PLUS,2011,Manual,"70,301",1st,PetrolKA-05,"₹5,591/month","₹2,86,000",Zero Down Payment
417,Renault Duster,Renault,RXS 85 PS,2016,Manual,"75,545",1st,DieselKA-01,"₹16,255/month","₹8,54,000","₹16,696/month"
418,Maruti New Wagon-R,Maruti,ZXI PLUS 1.2 AMT,2022,Automatic,"8,920",2nd,PetrolKA-02,"₹14,545/month","₹7,44,000",Zero Down Payment
419,Honda Brio,Honda,S MT,2013,Manual,"44,323",2nd,PetrolKA-03,"₹6,471/month","₹3,31,000",Zero Down Payment
420,Tata ALTROZ,Tata,XT DIESEL,2020,Manual,"36,549",1st,DieselKA-02,"₹16,312/month","₹8,57,000","₹16,755/month"
421,Renault Kwid,Renault,RXT 1.0 EASY-R  AT,2016,Automatic,"57,825",1st,PetrolKA-05,"₹7,898/month","₹4,04,000",Zero Down Payment
422,Maruti Ciaz,Maruti,ZXI+ AT,2016,Automatic,"50,687",1st,PetrolKA-03,"₹13,861/month","₹7,09,000",Zero Down Payment
423,Maruti Alto K10,Maruti,VXI (O) AMT,2017,Automatic,"28,914",1st,PetrolKA-05,"₹7,918/month","₹4,05,000",Zero Down Payment
424,HONDA CITY,HONDA,V MT PETROL,2014,Manual,"50,617",2nd,PetrolKA-01,"₹11,847/month","₹6,06,000",Zero Down Payment
425,Maruti Swift,Maruti,ZXI PLUS AMT,2018,Automatic,"26,634",1st,PetrolKA-04,"₹14,799/month","₹7,57,000",Zero Down Payment
426,Hyundai NEW SANTRO,Hyundai,SPORTZ AMT,2020,Automatic,"21,991",2nd,PetrolKA-53,"₹11,339/month","₹5,80,000",Zero Down Payment
427,RENAULT KWID,RENAULT,Neotech 1.0 EasyR,2020,Manual,"48,540",1st,PetrolKA-03,"₹9,931/month","₹5,08,000",Zero Down Payment
428,Maruti S Cross,Maruti,ZETA 1.3,2016,Manual,"49,726",1st,DieselKA-04,"₹16,503/month","₹8,67,000","₹16,950/month"
429,Maruti Baleno,Maruti,RS 1.0 PETROL,2018,Manual,"34,376",2nd,PetrolKA-41,"₹13,822/month","₹7,07,000",Zero Down Payment
430,Maruti Wagon R 1.0,Maruti,VXI,2013,Manual,"60,248",2nd,PetrolKA-41,"₹6,315/month","₹3,23,000",Zero Down Payment
431,Honda City,Honda,V MT PETROL,2015,Manual,"33,745",1st,PetrolKA-19,"₹13,275/month","₹6,79,000",Zero Down Payment
432,Maruti IGNIS,Maruti,ZETA 1.2 AMT,2017,Automatic,"74,643",1st,PetrolKA-06,"₹10,889/month","₹5,57,000",Zero Down Payment
433,Tata Tiago,Tata,XT PETROL,2018,Manual,"20,196",1st,PetrolKA-53,"₹10,088/month","₹5,16,000",Zero Down Payment
434,HYUNDAI VERNA,HYUNDAI,1.6 VTVT SX AT,2017,Automatic,"57,506",1st,PetrolKA-51,"₹15,380/month","₹8,08,000","₹15,797/month"
435,Hyundai Grand i10,Hyundai,AGNA 1.2 KAPPA VTVT,2018,Manual,"61,598",2nd,PetrolKA-53,"₹10,107/month","₹5,17,000",Zero Down Payment
436,Hyundai Elite i20,Hyundai,SPORTZ 1.2,2017,Manual,"55,143",1st,PetrolKA-53,"₹12,278/month","₹6,28,000",Zero Down Payment
437,Maruti Swift Dzire,Maruti,ZXI 1.2 BS IV,2013,Manual,"46,749",1st,PetrolKA-04,"₹9,951/month","₹5,09,000",Zero Down Payment
438,Maruti XL6,Maruti,ZETA AT,2019,Automatic,"17,878",1st,PetrolKA-03,"₹22,194/month","₹11,66,000","₹22,796/month"
439,Tata NEXON,Tata,XZ+ 1.5,2019,Manual,"67,271",1st,DieselKA-05,"₹17,759/month","₹9,33,000","₹18,240/month"
440,Maruti Dzire,Maruti,ZXI AMT,2018,Automatic,"33,852",1st,PetrolKA-03,"₹15,073/month","₹7,71,000",Zero Down Payment
441,Hyundai Elite i20,Hyundai,STA 1.2,2017,Manual,"51,181",1st,PetrolKA-51,"₹14,252/month","₹7,29,000",Zero Down Payment
442,HYUNDAI NEW I20,HYUNDAI,SPORTZ 1.0T GDI IMT,2021,Manual,"13,705",1st,PetrolKA-51,"₹16,997/month","₹8,93,000","₹17,458/month"
443,Maruti SWIFT,Maruti,ZXI,2011,Manual,"68,042",1st,PetrolKA-05,"₹9,443/month","₹4,83,000",Zero Down Payment
444,Maruti Swift,Maruti,VXI,2021,Manual,"55,114",1st,PetrolKA-41,"₹14,604/month","₹7,47,000",Zero Down Payment
445,Nissan MAGNITE,Nissan,XV CVT TURBO,2022,Automatic,"2,716",1st,PetrolKA-05,"₹21,737/month","₹11,42,000","₹22,326/month"
446,HYUNDAI CRETA,HYUNDAI,1.6 SX PLUS PETROL,2016,Manual,"67,621",1st,PetrolKA-03,"₹17,378/month","₹9,13,000","₹17,849/month"
447,Renault Kwid,Renault,RXT 1.0 (O),2019,Manual,"4,019",1st,PetrolKA-51,"₹9,286/month","₹4,75,000",Zero Down Payment
448,Renault Captur,Renault,RXE diesel (MT),2018,Manual,"40,592",1st,DieselKA-11,"₹14,682/month","₹7,51,000",Zero Down Payment
449,Hyundai i10,Hyundai,SPORTZ 1.2 AT,2013,Automatic,"91,279",2nd,PetrolKA-03,"₹7,312/month","₹3,74,000",Zero Down Payment
450,HYUNDAI SANTRO XING,HYUNDAI,GLS PLUS AUDIO,2012,Manual,"71,036",1st,PetrolKA-01,"₹5,767/month","₹2,95,000",Zero Down Payment
451,Maruti S Cross,Maruti,ZETA 1.3,2016,Manual,"48,266",2nd,DieselKA-03,"₹14,819/month","₹7,58,000",Zero Down Payment
452,Maruti Baleno,Maruti,DELTA CVT PETROL 1.2,2019,Automatic,"53,627",1st,PetrolKA-53,"₹15,874/month","₹8,34,000","₹16,305/month"
453,Volkswagen Vento,Volkswagen,HIGHLINE TDI AT,2016,Automatic,"90,271",1st,DieselKA-01,"₹14,057/month","₹7,19,000",Zero Down Payment
454,Maruti Swift,Maruti,ZXI,2013,Manual,"40,611",2nd,PetrolKA-53,"₹9,247/month","₹4,73,000",Zero Down Payment
455,RENAULT KWID,RENAULT,RXT 1.0 EASY-R  AT,2017,Automatic,"22,097",2nd,PetrolKA-03,"₹7,840/month","₹4,01,000",Zero Down Payment
456,Hyundai Grand i10,Hyundai,SPORTZ 1.2 KAPPA VTVT,2015,Manual,"71,730",2nd,PetrolKA-04,"₹8,543/month","₹4,37,000",Zero Down Payment
457,Mahindra XUV500,Mahindra,W6 4X2,2015,Manual,"67,077",1st,DieselKA-05,"₹19,910/month","₹10,46,000","₹20,450/month"
458,Maruti Dzire,Maruti,ZDI PLUS AMT,2017,Automatic,"75,187",1st,DieselKA-02,"₹15,132/month","₹7,74,000",Zero Down Payment
459,Maruti Wagon R Stingray,Maruti,VXI,2014,Manual,"89,002",1st,PetrolKA-51,"₹7,703/month","₹3,94,000",Zero Down Payment
460,Toyota YARIS,Toyota,VX CVT,2020,Automatic,"22,541",2nd,PetrolKA-42,"₹22,689/month","₹11,92,000","₹23,304/month"
461,Honda Amaze,Honda,1.2L I-VTEC VX CVT,2022,Automatic,"4,331",1st,PetrolKA-03,"₹19,548/month","₹10,27,000","₹20,078/month"
462,VOLKSWAGEN TIGUAN,VOLKSWAGEN,HIGHLINE TDI AT,2017,Automatic,"1,19,427",2nd,DieselKA-28,"₹33,824/month","₹17,77,000","₹34,741/month"
463,FORD ECOSPORT,FORD,1.5 TDCI TITANIUM PLUS,2019,Manual,"30,149",1st,DieselKA-51,"₹17,987/month","₹9,45,000","₹18,475/month"
464,Hyundai Creta,Hyundai,SX 1.5 PETROL,2020,Manual,"15,905",1st,PetrolKA-03,"₹29,484/month","₹15,49,000","₹30,283/month"
465,Hyundai Grand i10,Hyundai,1.2 KAPPA SPORTZ (O),2017,Manual,"12,246",2nd,PetrolKA-05,"₹10,088/month","₹5,16,000",Zero Down Payment
466,Maruti SWIFT DZIRE,Maruti,VXI,2012,Manual,"63,285",1st,PetrolKA-19,"₹9,892/month","₹5,06,000",Zero Down Payment
467,Honda WR-V,Honda,1.5L I-DTEC VX MT,2017,Manual,"93,518",1st,DieselKA-01,"₹15,445/month","₹7,90,000",Zero Down Payment
468,HYUNDAI I10,HYUNDAI,AGNA 1.1,2016,Manual,"36,198",2nd,PetrolKA-03,"₹8,387/month","₹4,29,000",Zero Down Payment
469,Datsun Redi Go,Datsun,T(O) 1.0,2017,Manual,"46,031",1st,PetrolKA-05,"₹5,865/month","₹3,00,000",Zero Down Payment
470,Honda City,Honda,1.5L I-VTEC ZX CVT,2018,Automatic,"60,955",1st,PetrolKA-03,"₹19,301/month","₹10,14,000","₹19,824/month"
471,Renault Kwid,Renault,CLIMBER 1.0 AT,2018,Automatic,"37,166",1st,PetrolKA-41,"₹9,267/month","₹4,74,000",Zero Down Payment
472,KIA SELTOS,KIA,HTK PLUS 1.5,2021,Manual,"29,225",1st,PetrolKA-13,"₹23,755/month","₹12,48,000","₹24,399/month"
473,Hyundai Santro Xing,Hyundai,GLS,2014,Manual,"77,207",1st,PetrolKA-32,"₹6,373/month","₹3,26,000",Zero Down Payment
474,Tata NEXON,Tata,XZ PLUS PETROL,2018,Manual,"27,891",1st,PetrolKA-05,"₹16,541/month","₹8,69,000","₹16,989/month"
475,Renault Kwid,Renault,1.0 CLIMBER OPT,2021,Manual,"14,862",1st,PetrolKA-20,"₹10,968/month","₹5,61,000",Zero Down Payment
476,KIA SELTOS,KIA,GTX PLUS DCT 1.4 PETROL,2022,Automatic,"2,109",1st,PetrolKA-04,"₹37,459/month","₹19,68,000","₹38,475/month"
477,Maruti BALENO,Maruti,DELTA CVT PETROL 1.2,2017,Automatic,"38,218",2nd,PetrolKA-35,"₹14,115/month","₹7,22,000",Zero Down Payment
478,Maruti Alto K10,Maruti,VXI AMT,2017,Automatic,"16,776",1st,PetrolKA-03,"₹8,016/month","₹4,10,000",Zero Down Payment
479,Maruti Swift,Maruti,VXI,2015,Manual,"89,731",1st,PetrolKA-01,"₹10,088/month","₹5,16,000",Zero Down Payment
480,Maruti CELERIO,Maruti,VXI AMT,2018,Automatic,"17,111",1st,PetrolKA-03,"₹10,889/month","₹5,57,000",Zero Down Payment
481,Honda Jazz,Honda,1.2L I-VTEC VX,2017,Manual,"60,442",2nd,PetrolKA-05,"₹12,219/month","₹6,25,000",Zero Down Payment
482,Maruti S CROSS,Maruti,DELTA 1.6,2015,Manual,"91,260",2nd,DieselKA-03,"₹13,333/month","₹6,82,000",Zero Down Payment
483,Maruti Baleno,Maruti,ZETA PETROL 1.2,2016,Manual,"89,774",1st,PetrolKA-04,"₹12,238/month","₹6,26,000",Zero Down Payment
484,Maruti Dzire,Maruti,ZXI PLUS AMT,2019,Automatic,"35,146",1st,PetrolKA-41,"₹15,970/month","₹8,39,000","₹16,403/month"
485,Maruti Ciaz,Maruti,ZXI,2016,Manual,"55,437",2nd,PetrolKA-03,"₹13,724/month","₹7,02,000",Zero Down Payment
486,Maruti IGNIS,Maruti,SIGMA 1.2,2018,Manual,"35,050",1st,PetrolKA-19,"₹9,931/month","₹5,08,000",Zero Down Payment
487,Honda City,Honda,1.5L I-VTEC ZX CVT,2019,Automatic,"27,022",1st,PetrolKA-01,"₹22,822/month","₹11,99,000","₹23,441/month"
488,Hyundai Elite i20,Hyundai,1.2  ASTA (O) CVT,2019,Manual,"24,929",1st,PetrolKA-53,"₹16,445/month","₹8,64,000","₹16,891/month"
489,Skoda Rapid,Skoda,CTIVE 1.0 TSI,2021,Manual,"7,129",1st,PetrolKA-04,"₹19,339/month","₹10,16,000","₹19,863/month"
490,Renault Kiger,Renault,RXZ 1.0 TURBO MT,2021,Manual,"13,614",1st,PetrolKA-04,"₹16,807/month","₹8,83,000","₹17,263/month"
491,Maruti Swift,Maruti,VXI,2012,Manual,"79,876",1st,PetrolKA-04,"₹9,286/month","₹4,75,000",Zero Down Payment
492,Honda City,Honda,VX CVT PETROL,2018,Automatic,"66,399",1st,PetrolKA-04,"₹18,216/month","₹9,57,000","₹18,710/month"
493,Hyundai Santro Xing,Hyundai,GL PLUS,2011,Manual,"46,496",2nd,PetrolKA-03,"₹5,357/month","₹2,74,000",Zero Down Payment
494,Skoda Rapid,Skoda,1.5 TDI MT Ambition Plus,2016,Manual,"56,058",1st,DieselKA-05,"₹15,503/month","₹7,93,000",Zero Down Payment
495,Honda City,Honda,1.5L I-VTEC V MT,2014,Manual,"58,549",2nd,PetrolKA-51,"₹11,163/month","₹5,71,000",Zero Down Payment
496,Maruti DZIRE,Maruti,ZXI PLUS AMT,2018,Automatic,"24,083",2nd,PetrolKA-53,"₹15,210/month","₹7,78,000",Zero Down Payment
497,Nissan Micra,Nissan,XV CVT,2017,Automatic,"31,476",1st,PetrolKA-03,"₹11,085/month","₹5,67,000",Zero Down Payment
498,Honda Brio,Honda,1.2 S MT I VTEC,2016,Manual,"48,613",2nd,PetrolKA-03,"₹8,172/month","₹4,18,000",Zero Down Payment
499,Ford FREESTYLE,Ford,FLAIR EDITION 1.2 PETROL,2020,Manual,"24,057",1st,PetrolKA-01,"₹14,565/month","₹7,45,000",Zero Down Payment
500,Ford Ecosport,Ford,TITANIUM 1.5L PETROL AT,2017,Automatic,"71,869",1st,PetrolKA-03,"₹13,763/month","₹7,04,000",Zero Down Payment
501,Maruti Dzire,Maruti,VXI,2019,Manual,"77,387",1st,PetrolKA-02,"₹12,923/month","₹6,61,000",Zero Down Payment
502,Hyundai Eon,Hyundai,AGNA +,2015,Manual,"48,131",1st,PetrolKA-41,"₹6,139/month","₹3,14,000",Zero Down Payment
503,RENAULT Kiger,RENAULT,RXZ 1.0 MT,2021,Manual,"8,434",1st,PetrolKA-02,"₹15,760/month","₹8,28,000","₹16,188/month"
504,Hyundai Elite i20,Hyundai,SPORTZ 1.2,2017,Manual,"40,674",1st,PetrolKA-05,"₹13,157/month","₹6,73,000",Zero Down Payment
505,Maruti Swift,Maruti,VXI,2013,Manual,"66,923",1st,PetrolKA-05,"₹9,689/month","₹4,95,600",Zero Down Payment
506,Maruti Ciaz,Maruti,ZXI,2016,Manual,"63,537",2nd,PetrolKA-01,"₹13,939/month","₹7,13,000",Zero Down Payment
507,Maruti Alto 800,Maruti,VXI,2016,Manual,"19,079",1st,PetrolKA-53,"₹6,178/month","₹3,16,000",Zero Down Payment
508,Hyundai Grand i10,Hyundai,STA 1.2 KAPPA VTVT,2019,Manual,"11,731",2nd,PetrolKA-05,"₹12,590/month","₹6,44,000",Zero Down Payment
509,Renault Duster,Renault,RXS CVT 106 PS,2017,Automatic,"33,048",2nd,PetrolKA-03,"₹15,308/month","₹7,83,000",Zero Down Payment
510,Maruti Swift,Maruti,VXI AMT,2018,Automatic,"26,007",1st,PetrolKA-68,"₹14,154/month","₹7,24,000",Zero Down Payment
511,Hyundai Xcent,Hyundai,SX 1.2,2018,Manual,"27,896",1st,PetrolKA-30,"₹13,138/month","₹6,72,000",Zero Down Payment
512,Mahindra MARAZZO,Mahindra,8 7 STR,2018,Manual,"16,097",1st,DieselKA-01,"₹23,317/month","₹12,25,000","₹23,949/month"
513,HYUNDAI NEW ELANTRA,HYUNDAI,2.0 SX AT PETROL,2017,Automatic,"36,647",2nd,PetrolKA-01,"₹21,832/month","₹11,47,000","₹22,424/month"
514,Hyundai AURA,Hyundai,SX 1.2 (O),2022,Manual,"4,417",1st,PetrolKA-51,"₹17,283/month","₹9,08,000","₹17,752/month"
515,Maruti Baleno,Maruti,DELTA CVT PETROL 1.2,2018,Automatic,"15,267",1st,PetrolKA-03,"₹14,858/month","₹7,60,000",Zero Down Payment
516,Renault TRIBER,Renault,RXZ AMT,2020,Automatic,"9,797",1st,PetrolKA-04,"₹15,366/month","₹7,86,000",Zero Down Payment
517,Maruti Swift,Maruti,VXI,2013,Manual,"53,357",1st,PetrolKA-03,"₹10,068/month","₹5,15,000",Zero Down Payment
518,Hyundai VENUE,Hyundai,S MT Turbo GDI 1.0L,2020,Manual,"21,921",1st,PetrolKA-25,"₹16,693/month","₹8,77,000","₹17,146/month"
519,Hyundai Grand i10,Hyundai,STA 1.2 KAPPA VTVT,2018,Manual,"25,919",1st,PetrolKA-04,"₹11,789/month","₹6,03,000",Zero Down Payment
520,Volkswagen Vento,Volkswagen,HIGHLINE 1.2 TSI AT,2016,Automatic,"42,760",2nd,PetrolKA-03,"₹15,093/month","₹7,72,000",Zero Down Payment
521,Renault Duster,Renault,RXZ 85 PS DIESEL,2017,Manual,"73,010",1st,DieselKA-01,"₹17,036/month","₹8,95,000","₹17,497/month"
522,TATA NEXON,TATA,XM PETROL,2018,Manual,"22,325",1st,PetrolKA-04,"₹15,406/month","₹7,88,000",Zero Down Payment
523,Maruti IGNIS,Maruti,ZETA 1.2 AMT,2017,Automatic,"24,428",1st,PetrolKA-03,"₹12,082/month","₹6,18,000",Zero Down Payment
524,Renault Duster,Renault,RXL AMT 110 PS,2016,Automatic,"85,849",2nd,DieselKA-53,"₹16,902/month","₹8,88,000","₹17,361/month"
525,Hyundai Verna,Hyundai,1.6 SX VTVT,2017,Manual,"41,080",1st,PetrolKA-51,"₹15,951/month","₹8,38,000","₹16,383/month"
526,Renault Kiger,Renault,RXZ 1.0 TURBO MT,2021,Manual,"14,598",1st,PetrolKA-04,"₹16,769/month","₹8,81,000","₹17,224/month"
527,Hyundai Creta,Hyundai,E PLUS 1.6 PETROL,2019,Manual,"22,160",1st,PetrolKA-05,"₹19,662/month","₹10,33,000","₹20,195/month"
528,Maruti S Cross,Maruti,LPHA 1.5,2020,Manual,"34,624",1st,PetrolKA-03,"₹19,339/month","₹10,16,000","₹19,863/month"
529,Hyundai VENUE,Hyundai,SX 1.5 CRDI,2021,Manual,"27,540",1st,DieselKA-53,"₹21,375/month","₹11,23,000","₹21,955/month"
530,Hyundai Grand i10,Hyundai,SPORTZ AT 1.2 KAPPA VTVT,2019,Automatic,"47,130",1st,PetrolKA-05,"₹12,532/month","₹6,41,000",Zero Down Payment
531,Hyundai i10,Hyundai,SPORTZ 1.2 AT,2012,Automatic,"41,583",1st,PetrolKA-53,"₹7,840/month","₹4,01,000",Zero Down Payment
532,Honda City,Honda,1.5L I-VTEC V MT,2018,Manual,"36,750",1st,PetrolKA-03,"₹17,378/month","₹9,13,000","₹17,849/month"
533,Honda Jazz,Honda,1.2 S MT,2016,Manual,"78,056",2nd,PetrolKA-51,"₹10,459/month","₹5,35,000",Zero Down Payment
534,Maruti Swift,Maruti,VXI,2018,Manual,"36,789",1st,PetrolKA-51,"₹13,099/month","₹6,70,000",Zero Down Payment
535,Maruti Dzire,Maruti,VXI AMT,2018,Automatic,"44,358",1st,PetrolKA-41,"₹13,685/month","₹7,00,000",Zero Down Payment
536,MAHINDRA MARAZZO,MAHINDRA,8 7 STR,2018,Manual,"83,809",1st,DieselKA-02,"₹19,415/month","₹10,20,000","₹19,941/month"
537,Tata NEXON,Tata,XZA PLUS PETROL DUAL TONE,2019,Automatic,"32,192",2nd,PetrolKA-01,"₹19,262/month","₹10,12,000","₹19,785/month"
538,Honda City,Honda,SV MT PETROL,2015,Manual,"75,876",1st,PetrolKA-04,"₹12,160/month","₹6,22,000",Zero Down Payment
539,Maruti Swift,Maruti,VXI,2022,Manual,"11,704",1st,PetrolKA-36,"₹14,799/month","₹7,57,000",Zero Down Payment
540,Maruti Wagon R 1.0,Maruti,VXI AMT,2018,Automatic,"79,467",1st,PetrolKA-41,"₹9,169/month","₹4,69,000",Zero Down Payment
541,Renault Kwid,Renault,1.0 CLIMBER OPT,2021,Manual,"11,113",1st,PetrolKA-16,"₹11,280/month","₹5,77,000",Zero Down Payment
542,Maruti Dzire,Maruti,ZXI PLUS AMT,2017,Automatic,"42,925",1st,PetrolKA-50,"₹15,425/month","₹7,89,000",Zero Down Payment
543,Maruti Wagon R 1.0,Maruti,VXI,2018,Manual,"41,375",1st,PetrolKA-41,"₹9,052/month","₹4,63,000",Zero Down Payment
544,Hyundai Elite i20,Hyundai,STA 1.4 CRDI DUAL TONE,2017,Manual,"79,383",1st,DieselKA-05,"₹15,437/month","₹8,11,000","₹15,855/month"
545,Hyundai VENUE,Hyundai,SX 1.0 TURBO IMT,2020,Manual,"28,552",1st,PetrolKA-05,"₹19,967/month","₹10,49,000","₹20,508/month"
546,Toyota Glanza,Toyota,G,2021,Manual,"28,610",1st,PetrolKA-02,"₹16,179/month","₹8,50,000","₹16,618/month"
547,Mahindra XUV500,Mahindra,W10 AT FWD,2017,Automatic,"66,971",1st,DieselKA-05,"₹28,399/month","₹14,92,000","₹29,169/month"
548,Hyundai AURA,Hyundai,SX (O) MT,2020,Manual,"23,585",1st,PetrolKA-41,"₹14,057/month","₹7,19,000",Zero Down Payment
549,Honda City,Honda,1.5L I-VTEC ZX CVT,2021,Automatic,"9,210",1st,PetrolKA-05,"₹28,741/month","₹15,10,000","₹29,521/month"
550,Maruti Dzire,Maruti,VXI AMT,2017,Automatic,"34,781",1st,PetrolKA-59,"₹14,174/month","₹7,25,000",Zero Down Payment
551,Maruti Swift,Maruti,ZXI AMT,2018,Automatic,"46,509",1st,PetrolKA-03,"₹14,565/month","₹7,45,000",Zero Down Payment
552,Renault Duster,Renault,RXZ 1.3 TURBO MT,2021,Manual,"12,307",1st,PetrolKA-02,"₹24,916/month","₹13,09,000","₹25,591/month"
553,HYUNDAI CRETA,HYUNDAI,SX PLUS 1.6 PETROL,2018,Manual,"60,950",1st,PetrolKA-51,"₹20,976/month","₹11,02,000","₹21,544/month"
