cars_name,cars_brand,model_year,kms,gasoliene_type,price
Mahindra Kuv100,Mahindra,2016,35457,Petrol,490000
Skoda Rapid,Skoda,2018,16231,Petrol,1086000
Hyundai Aura,Hyundai,2020,25210,Petrol,810000
Tata Tiago,Tata,2017,39050,Petrol,508000
Tata Altroz,Tata,2021,19794,Petrol,766000
Maruti Swift Dzire,Maruti,2014,27895,Petrol,504200
Tata Tiago,Tata,2018,83340,CNG,495000
Tata Tigor,Tata,2018,33783,Petrol,562000
Honda City,Honda,2015,57461,Petrol,735000
Skoda Rapid,Skoda,2020,11633,Petrol,916000
Skoda Kushaq,Skoda,2021,10928,Petrol,1563000
Honda City,Honda,2015,68842,Petrol,635000
Volkswagen Polo,Volkswagen,2015,69081,Petrol,585000
Hyundai I20,Hyundai,2013,61131,Petrol,440000
Maruti Ciaz,Maruti,2015,75287,Diesel,648350
Renault Duster,Renault,2017,60965,Diesel,932000
Toyota Glanza,Toyota,2019,72277,Petrol,649000
Honda City,Honda,2017,69050,Petrol,740000
Hyundai Creta,Hyundai,2017,70608,Diesel,1065000
Hyundai Elite I20,Hyundai,2019,9271,Petrol,843000
Volkswagen Vento,Volkswagen,2016,27783,Petrol,971000
Hyundai New I20,Hyundai,2021,31655,Petrol,792000
Kia Seltos,Kia,2019,29634,Diesel,1373000
Maruti Ignis,Maruti,2018,91394,Petrol,453000
Renault Kiger,Renault,2021,15105,Petrol,859000
Honda City,Honda,2015,52340,Petrol,681000
Maruti Celerio,Maruti,2021,12364,Petrol,629000
Tata Tiago,Tata,2019,21635,Petrol,572000
Honda Jazz,Honda,2016,91644,Petrol,547000
Maruti Swift,Maruti,2014,85162,Petrol,501000
Mahindra Xuv 3Oo,Mahindra,2020,26776,Petrol,999000
Hyundai I10,Hyundai,2016,35851,Petrol,407000
Skoda Rapid,Skoda,2017,63005,Petrol,814000
Hyundai Verna,Hyundai,2014,96267,Diesel,628000
Honda Amaze,Honda,2017,22321,Petrol,604000
Hyundai Elite I20,Hyundai,2016,23000,Petrol,644000
Hyundai Creta,Hyundai,2018,25434,Petrol,1082000
Datsun Redi Go,Datsun,2017,64902,Petrol,293000
Maruti Swift,Maruti,2012,46842,Petrol,431000
Ford Freestyle,Ford,2018,62700,Petrol,615000
Toyota Corolla Altis,Toyota,2018,67960,Petrol,1360000
Honda Amaze,Honda,2015,61390,Petrol,481000
Hyundai Grand I10 Nios,Hyundai,2020,27323,Petrol,669000
Hyundai Eon,Hyundai,2018,13944,Petrol,384000
Maruti S Cross,Maruti,2020,35754,Petrol,905000
Hyundai I20,Hyundai,2014,52599,Petrol,467000
Hyundai I20 Active,Hyundai,2015,56762,Diesel,631000
Maruti Vitara Brezza,Maruti,2016,82685,Diesel,725000
Maruti Dzire,Maruti,2020,10037,Petrol,837000
Renault Duster,Renault,2017,27977,Diesel,995000
Renault Triber,Renault,2020,7756,Petrol,778000
Renault Kiger,Renault,2021,32302,Petrol,1079000
Renault Kiger,Renault,2021,27839,Petrol,903000
Hyundai Creta,Hyundai,2019,60781,Petrol,1184000
Hyundai Venue,Hyundai,2020,12183,Petrol,883000
Renault Duster,Renault,2013,93819,Diesel,575000
Maruti Swift,Maruti,2018,42162,Petrol,724000
Maruti Ritz,Maruti,2010,75399,Petrol,293000
Tata Tiago,Tata,2018,36738,Petrol,538000
Maruti Swift,Maruti,2020,9085,Petrol,709000
Maruti Swift Dzire,Maruti,2014,89128,Petrol,541000
Skoda Kushaq,Skoda,2021,32900,Petrol,1186000
Honda City,Honda,2014,29798,Petrol,642000
Hyundai I10,Hyundai,2011,47585,Petrol,315000
Maruti Wagon R 1.0,Maruti,2011,73653,Petrol,289000
Honda Amaze,Honda,2013,98197,Diesel,416000
Hyundai New I20,Hyundai,2021,18780,Petrol,976000
Hyundai Venue,Hyundai,2020,23330,Petrol,868000
Kia Seltos,Kia,2019,32988,Petrol,1443000
Volkswagen Vento,Volkswagen,2016,80212,Diesel,814000
Mahindra Thar,Mahindra,2021,20614,Diesel,1617000
Renault Kiger,Renault,2021,14426,Petrol,1119000
Maruti Ritz,Maruti,2014,32713,Petrol,411000
Mahindra Bolero,Mahindra,2022,20376,Diesel,1133000
Skoda Rapid,Skoda,2019,17289,Petrol,1165000
Hyundai Verna,Hyundai,2017,38396,Petrol,924000
Renault Kiger,Renault,2021,17522,Petrol,1104000
Mahindra Scorpio,Mahindra,2014,52627,Diesel,993000
Renault Kwid,Renault,2021,20023,Petrol,582000
Hyundai Verna,Hyundai,2020,32987,Diesel,1466000
Mahindra Kuv100,Mahindra,2016,46961,Diesel,486000
Hyundai Verna,Hyundai,2018,46631,Petrol,845000
Hyundai Santro Xing,Hyundai,2011,79501,Petrol,252000
Hyundai New Santro,Hyundai,2021,11063,CNG,631000
Hyundai Venue,Hyundai,2022,2660,Petrol,1069000
Hyundai Creta,Hyundai,2019,80463,Diesel,1412000
Maruti Ritz,Maruti,2012,96607,Diesel,389000
Maruti Vitara Brezza,Maruti,2020,39765,Petrol,878000
Toyota Etios Liva,Toyota,2013,46214,Petrol,469000
Renault Kwid,Renault,2016,62527,Petrol,407000
Renault Duster,Renault,2017,47127,Petrol,775000
Honda Brio,Honda,2014,62519,Petrol,383000
Renault Duster,Renault,2019,49125,Diesel,897000
Maruti Wagon R 1.0,Maruti,2015,33403,Petrol,395000
Honda City,Honda,2018,49423,Petrol,869000
Renault Duster,Renault,2016,73494,Diesel,871000
Mahindra Xuv500,Mahindra,2017,77254,Diesel,1105000
Hyundai Grand I10,Hyundai,2019,8211,Petrol,661000
Maruti Ciaz,Maruti,2019,31630,Petrol,772000
Honda Jazz,Honda,2015,49285,Petrol,523000
Hyundai Elite I20,Hyundai,2019,10203,Petrol,821000
Hyundai New I20,Hyundai,2021,35469,Diesel,1082000
Hyundai Grand I10,Hyundai,2017,32675,Petrol,532000
Honda Brio,Honda,2012,69289,Petrol,337000
Hyundai Grand I10,Hyundai,2015,25617,Petrol,550000
Hyundai New Santro,Hyundai,2018,56398,Petrol,539000
Renault Pulse,Renault,2016,41023,Petrol,389000
Hyundai Venue,Hyundai,2020,12915,Petrol,1210000
Maruti New Wagon-R,Maruti,2021,28647,CNG,646000
Mahindra Xuv500,Mahindra,2017,61290,Diesel,1224000
Nissan Micra,Nissan,2017,47336,Petrol,472000
Toyota Corolla Altis,Toyota,2014,98018,Petrol,782000
Maruti Wagon R 1.0,Maruti,2012,72371,Petrol,299000
Maruti Xl6,Maruti,2019,36529,Petrol,1069000
Volkswagen Polo,Volkswagen,2016,75166,Petrol,783800
Maruti Swift Dzire,Maruti,2016,59296,Diesel,681000
Hyundai I10,Hyundai,2015,50197,Petrol,393000
Maruti New Wagon-R,Maruti,2019,9723,Petrol,590000
Kia Sonet,Kia,2021,14710,Diesel,1156000
Maruti Swift,Maruti,2017,65435,Petrol,624000
Volkswagen Vento,Volkswagen,2016,51170,Petrol,672000
Maruti Vitara Brezza,Maruti,2017,76660,Diesel,770000
Hyundai New Santro,Hyundai,2018,55956,Petrol,517000
Maruti Ritz,Maruti,2011,74697,Petrol,351000
Skoda Slavia,Skoda,2022,6817,Petrol,1693000
Maruti Swift,Maruti,2015,54797,Petrol,472000
Mahindra Kuv 100 Nxt,Mahindra,2019,12384,Petrol,573000
Ford Ecosport,Ford,2019,44093,Petrol,823000
Renault Kiger,Renault,2021,16055,Petrol,1044000
Maruti Swift,Maruti,2014,66877,Diesel,603000
